brand_name,url,meta_description,visual_mood,core_ui,copywriting_ratio,core_insight,category
ILIABeauty,https://iliabeauty.com,"Clean skin-centric beauty with high-performing skincare ingredients and weightless makeup coverage.","메인컬러 #F7F5F0 / 높은 여백 / 촉촉한 수분 세럼 텍스처 비주얼","Shade Matcher 인터랙티브 툴, Before/After 듀얼 뷰어, 스킨케어 성분 탭","스킨케어 60% : 메이크업 40%","틴티드 세럼의 액상 텍스처와 임상 성분을 메인 비주얼과 인터랙티브 셰이드 파인더에 녹여 결제까지 매끄럽게 연결함.","Category 3 (최우수 롤모델)"
MERIT Beauty,https://meritbeauty.com,"Clean, luxury, minimalist makeup for everyday wear, the antidote to oversaturated beauty routines.","메인컬러 #FAF8F5 / 극도의 미니멀리즘과 여백 / 매끈한 제형 텍스처","The Minimalist 1-Step 스틱 카테고리 강조, Behind the Formula 스킨케어 성분 표시, Find My Shade UI","스킨케어 50% : 메이크업 50%","복잡한 튜토리얼 대신 5분 이내 완료되는 단일 스틱 및 하이브리드 루틴 강조로 진입 장벽 최소화.","Category 1 (디자인 무드 중심)"
Saie,https://saiehello.com,"Clean makeup infused with skincare ingredients that delivers real performance with zero compromise.","메인컬러 #F9EBEA / 활력 있는 여백 / 수분감 있는 스킨 틴트 글로우 텍스처","모델별 실물 발색 Before/After 인터랙티브 셰이드 지니, Skin Concierge 텍스트 매칭","스킨케어 55% : 메이크업 45%","실감 나는 피부 톤 비교 슬라이더와 텍스처 인클로즈업을 통해 온라인 구매의 톤 선택 불안감을 완벽 해소.","Category 2 (하이브리드 기능/UX 중심)"
Rhode,https://rhodeskin.com,"A line of curated skin essentials formulated for sensitive skin with a glazed, glowing finish.","메인컬러 #EAEAEA / 극한의 여백과 폰트 크기 대비 / 피부 듀이(Dewy) 광택 텍스처 컷 극대화","제품 단 1개 뷰로 집중시키는 풀스크린 미니멀 뷰어, 펩타이드 수분 성분 강조 UI","스킨케어 70% : 메이크업 30%","제품 군을 최소화하고 광택/수분감 비주얼 중심의 극강의 미니멀 뷰어를 통해 독보적인 브랜드 감성을 전달.","Category 1 (디자인 무드 중심)"
Typology Paris,https://typology.com,"Clean, vegan, and minimalist skincare and skin tints made in France with transparent ingredient listings.","메인컬러 #FAFAFA / 실험실풍의 정갈한 미니멀리즘 / 스킨 틴트 방울 텍스처","피부 진단 인터랙티브 퀴즈(Diagnostic), 성분 함량(%) 명시형 카피라이팅 UI","스킨케어 80% : 메이크업 20%","성분 중심의 투명한 원료 함량 표시와 맞춤형 피부 진단 UX를 메이크업 틴트 제품군에 성공적으로 이식함.","Category 3 (최우수 롤모델)"
Westman Atelier,https://westman-atelier.com,"Luxuriously formulated, clean skin-nourishing makeup created by world-renowned makeup artist Gucci Westman.","메인컬러 #F5F2EC / 럭셔리 미니멀리즘과 여백 / 오일 드롭스 텍스처 고화질 컷","Vital Skin Complexion Drops 텍스처 슬라이더, 피부 상태별 메이크업 아티스트 적용 가이드","스킨케어 50% : 메이크업 50%","럭셔리 스킨케어의 영양 성분과 프로 아티스트의 터치를 1-Step 드롭 텍스처로 시각화하여 프리미엄 하이브리드 시장 선점.","Category 3 (최우수 롤모델)"
Kosas,https://kosas.com,"Makeup for skin lovers. Formula-first, clean cosmetics clinically proven to improve skin over time.","메인컬러 #FFFDF7 / 시원한 여백과 생동감 넘치는 텍스처 / 세럼 오일 텍스처 점성 강조","Clinically Proven Skincare Benefits 하이라이트 카피, 30개 이상 스킨 톤 Swatch 매처","스킨케어 60% : 메이크업 40%","임상시험 기반의 피부 개선 효과 데이터를 전면에 배치하여 메이크업 이상의 스킨케어 효능감을 입증하는 UI 구조.","Category 2 (하이브리드 기능/UX 중심)"
Jones Road Beauty,https://jonesroadbeauty.com,"The epitome of clean, high-performance, effortless beauty founded by Bobbi Brown for all skin types and ages.","메인컬러 #F7F7F7 / 캐주얼하고 정갈한 여백 / Miracle Balm 밤(Balm) 제형 텍스처 클로즈업","What Is Miracle Balm 인터랙티브 사용법 토글, 1-Step multi-use 적용 비주얼","스킨케어 50% : 메이크업 50%","단 하나의 밤(Balm) 제형 제품으로 보습과 컬러를 동시 해결하는 멀티유즈 방식을 직관적인 가이드로 연출.","Category 2 (하이브리드 기능/UX 중심)"
Iris & Romeo,https://irisandromeo.com,"All-in-one skincare and makeup hybrids for modern simplified beauty routines.","메인컬러 #F5EFEB / 따뜻한 미니멀 여백 / 5-in-1 에센스 크림 텍스처","5-in-1 All In One 인포그래픽 UI (Serum + Moisture + SPF + Tint + Glow), 1단계 아침 루틴 비교","스킨케어 70% : 메이크업 30%","5단계 화장품을 단 1단계로 줄여주는 '화장품 다이어트' UI 인포그래픽을 통해 하이브리드의 실용성을 명확히 전달.","Category 3 (최우수 롤모델)"
Rose Inc,https://roseinc.com,"Clean, sustainable beauty powered by bioengineered skincare ingredients and rich pigments.","메인컬러 #F4F0EA / 모던 아키텍처풍의 엄격한 여백 / 마이크로 캡슐 피그먼트 버블 텍스처","마이크로 피그먼트 캡슐 터지는 애니메이션 UX, 성분 투명도 인포그래픽","스킨케어 65% : 메이크업 35%","피그먼트 세럼 버블 텍스처의 시각적 인터랙션을 통해 세럼과 메이크업 틴트의 결합을 마이크로 단위로 시각화.","Category 1 (디자인 무드 중심)"
Tower 28 Beauty,https://tower28beauty.com,"100% clean, non-toxic, sensitive-skin approved beauty inspired by Sunny California.","메인컬러 #FFFDF8, #E65525 / 경쾌하고 여백이 강조된 깔끔한 레이아웃","National Eczema Association 인증 마크 배지, 민감성 피부 전후 비교 슬라이더","스킨케어 60% : 메이크업 40%","민감성 아토피 피부도 안심하고 사용할 수 있는 안전성 인증 배지와 무자극 카피라이팅으로 유저 신뢰 형성.","Category 2 (하이브리드 기능/UX 중심)"
Summer Fridays,https://summerfridays.com,"Skincare and hybrid beauty essentials designed to bring your skin back to its happiest, most hydrated state.","메인컬러 #F2F5F8 / 파스텔 톤의 아늑한 미니멀 여백 / 촉촉한 시어 틴트 텍스처","Sheer Skin Tint 전용 쉐이드 아카이브 Grid, 세럼 보습 성분 타임라인 UI","스킨케어 70% : 메이크업 30%","차분하고 감성적인 파스텔 컬러 블록과 보습 세럼 성분 중심의 미니멀 인터페이스로 편안한 브랜드 감성 구축.","Category 1 (디자인 무드 중심)"
Glossier,https://glossier.com,"Skin first, makeup second. Beauty products inspired by real life.","메인컬러 #FAEDF0 / 캐주얼하고 대담한 여백 / Futuredew skin tint의 실제 피부 광택 컷","Skin First 모토 중심 탭 전환, 실물 피부 텍스처 접사 마우스오버, 1-Step 콤보 빌더","스킨케어 50% : 메이크업 50%","피부가 먼저, 메이크업은 그다음이라는 명확한 철학 아래 스킨 틴트와 수분 밤의 시너지를 극대화하는 커스텀 콤보 UI 제공.","Category 3 (최우수 롤모델)"
Milk Makeup,https://milkmakeup.com,"100% Vegan, Cruelty-free makeup and skincare with high-concept, multi-use stick formats.","메인컬러 #F5F5F5 / 모던 스트리트 뷰티 무드와 서체 강조 여백 / 젤리 스틱 텍스처","Sunshine Skin Tint 롤러볼 1-Step 도포 애니메이션, 퀵 스틱 카테고리 필터","스킨케어 45% : 메이크업 55%","롤러볼 및 스틱 형태의 신개념 1-Step 도포 방식을 숏폼 및 인터랙티브 UI로 직관 표현.","Category 2 (하이브리드 기능/UX 중심)"
Ami Colé,https://amicole.com,"Clean beauty formulated for melanin-rich skin, highlighting natural beauty with skin-nourishing ingredients.","메인컬러 #FAF6F0 / 따뜻한 톤의 와이드 여백 / 틴트 오일의 풍부한 텍스처","멜라닌 피그먼트 피부 톤 전용 셰이드 지니, 내추럴 글림 듀얼 비교 뷰","스킨케어 60% : 메이크업 40%","풍부한 피부 톤에 최적화된 스킨케어 오일 틴트 텍스처와 다채로운 실물 톤 매칭 UI로 타깃 맞춤형 경험 제공.","Category 2 (하이브리드 기능/UX 중심)"
RMS Beauty,https://rmsbeauty.com,"Clean, organic makeup infused with living ingredients that nourish, heal, and illuminate skin.","메인컬러 #F8F8F6 / 내추럴 오가닉 여백 / 마이크로 플루이드 세럼 제형 클로즈업","Living Ingredients 생 성분 명시 탭, ReEvolve 파운데이션 세럼 변환 슬라이더","스킨케어 75% : 메이크업 25%","열을 가하지 않은 생(Living) 오가닉 성분의 피부 치유 효과를 세럼 피그먼트 텍스처와 함께 시각화.","Category 1 (디자인 무드 중심)"
hince,https://hince.co.kr,"밀착되고 투명하게 피어나는 감성 코스메틱 브랜드, 피부 본연의 결을 살리는 하이브리드 미니멀리즘.","메인컬러 #F6F4F0 / 갤러리 감성의 정갈하고 넉넉한 여백 / 실키 스킨 텍스처","Second Skin 피부 결 클로즈업 호버 비주얼, 절제된 서체 타이포그래피","스킨케어 40% : 메이크업 60%","내 피부 같은 밀착감(Second Skin)을 극도로 정밀한 감성 텍스처 컷과 미니멀 갤러리 UI로 풀어내 몰입감 증대.","Category 1 (디자인 무드 중심)"
